2025-03-04T04:31:10.508Z - Event: Video Sent, Username: putzamonkey, FPS: 30, Resolution: 1, Quality: low
2025-03-04T04:31:38.385Z - Event: Video Sent, Username: putzamonkey, FPS: 30, Resolution: 1, Quality: low
2025-03-11T10:42:41.824Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: Not set
2025-03-11T10:51:18.630Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 30, Resolution: 1, Quality: low
2025-03-11T10:55:51.884Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 15, Resolution: 1, Quality: low
2025-03-11T10:56:43.747Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: Not set
2025-03-11T11:10:33.722Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: Not set
2025-03-12T13:45:42.241Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 25, Resolution: 0.5, Quality: low
2025-03-12T13:46:57.232Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 25, Resolution: 0.5, Quality: low
2025-03-12T13:47:37.790Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 25, Resolution: 0.5, Quality: low
2025-03-12T13:54:48.431Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 25, Resolution: 0.5, Quality: low
2025-03-12T13:55:49.096Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 25, Resolution: 0.5, Quality: low
2025-03-12T20:20:53.587Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 15, Resolution: 0.5, Quality: low
2025-03-12T20:26:02.607Z - Event: Audio Sent, Username: นนนนนนนนนน, FPS: 15, Resolution: 0.5, Quality: low
2025-03-12T20:40:39.972Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: Not set
2025-03-12T20:48:31.615Z - Event: Audio Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: low
2025-03-12T20:49:06.663Z - Event: Audio Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: high
2025-03-12T20:52:02.496Z - Event: Audio Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: standard
2025-03-12T20:54:37.126Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: high
2025-03-13T15:58:43.315Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: low
2025-03-13T15:59:10.797Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 30, Resolution: 0.5, Quality: low
2025-03-13T16:13:50.607Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 30, Resolution: 0.5, Quality: low
2025-03-13T16:18:18.477Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: 30, Resolution: 0.5, Quality: low
2025-03-13T16:18:40.538Z - Event: Video Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: low
2025-03-13T16:19:51.654Z - Event: Audio Sent, Username: นนนนนนนนนน, FPS: Not set, Resolution: Not set, Quality: low
